rr_min,stop_strategy,ma_partial,ma_full,cagr,sharpe,sortino,mdd,calmar,trades,win_rate,avg_r,profit_factor,total_ret
4.5,gradual,10,20,2.44,0.638,0.353,9.83,0.248,111,39.64,2.073,2.613,41.21
3.0,direct,10,60,5.02,0.636,0.606,20.89,0.24,365,25.75,1.248,1.756,101.97
3.0,gradual,20,60,5.9,0.635,0.611,21.36,0.276,337,29.38,1.521,1.835,127.39
4.5,direct,5,20,2.35,0.634,0.345,9.77,0.241,117,36.75,1.863,2.618,39.54
2.5,none,10,200,8.25,0.632,0.796,24.75,0.333,297,46.8,2.236,2.061,211.5
4.0,none,20,200,5.79,0.629,0.727,16.8,0.345,155,41.94,2.774,2.586,124.16
5.0,direct,5,60,2.94,0.628,0.39,7.82,0.376,87,29.89,3.391,4.49,51.6
5.0,direct,20,50,3.18,0.625,0.36,9.95,0.319,77,25.97,4.29,4.998,56.59
4.0,direct,50,200,5.74,0.622,0.593,16.32,0.352,146,17.81,3.367,3.529,122.66
5.0,gradual,5,20,2.05,0.622,0.315,7.85,0.262,92,43.48,2.225,3.138,33.86
3.5,direct,10,30,3.43,0.621,0.476,13.99,0.245,235,28.09,1.725,1.832,62.11
3.5,direct,20,30,3.95,0.62,0.452,12.64,0.313,222,24.77,1.918,1.941,74.37
4.5,direct,10,20,2.33,0.62,0.337,10.28,0.227,114,35.09,1.964,2.603,39.12
4.5,direct,5,10,2.05,0.62,0.319,9.07,0.226,115,38.26,1.763,2.359,33.71
4.0,none,50,200,6.46,0.619,0.718,18.22,0.355,155,40.0,2.912,2.685,145.5
3.5,none,5,10,2.51,0.619,0.471,7.68,0.327,260,48.85,0.974,1.577,42.67
3.0,direct,5,20,3.46,0.617,0.555,16.88,0.205,387,34.37,0.905,1.518,62.77
2.5,direct,10,20,4.72,0.616,0.627,18.68,0.253,563,33.75,0.792,1.408,93.75
3.5,direct,20,50,4.08,0.61,0.482,11.5,0.355,223,21.97,1.854,2.006,77.41
3.5,gradual,10,20,3.03,0.609,0.468,11.02,0.275,244,39.75,1.286,1.734,53.47
