date,equity
2016-05-26,100000.0
2016-05-27,99950.93182363416
2016-05-31,99624.52933856302
2016-06-01,99632.53913068541
2016-06-02,99419.83276754223
2016-06-03,99279.81278692561
2016-06-06,99481.79712218154
2016-06-07,99510.21110282338
2016-06-08,99824.95051095315
2016-06-09,99627.17069298885
2016-06-10,99244.96718326633
2016-06-13,98944.51595179451
2016-06-14,98853.0717696931
2016-06-15,98921.54647662173
2016-06-16,98949.74297678951
2016-06-17,98904.28281848694
2016-06-20,99123.65293230163
2016-06-21,99205.7259263043
2016-06-22,99169.67459406052
2016-06-23,99775.08729771328
2016-06-24,99726.98302092464
2016-06-27,98659.312648354
2016-06-28,98950.63629297698
2016-06-29,99554.73231108431
2016-06-30,100178.77303581193
2016-07-01,99940.4662088493
2016-07-05,99762.82579007425
2016-07-06,100502.15278381175
2016-07-07,100550.24345931783
2016-07-08,100827.41650132259
2016-07-11,100855.08607490854
2016-07-12,101124.0044013994
2016-07-13,101070.30639714921
2016-07-14,100970.41499978642
2016-07-15,101009.19683771447
2016-07-18,101186.30996550634
2016-07-19,101033.15451568755
2016-07-20,101132.63108482776
2016-07-21,100976.61798930085
2016-07-22,101221.5178347217
2016-07-25,101116.1012929074
2016-07-26,101270.24241424043
2016-07-27,101262.42459041579
2016-07-28,101371.21394604654
2016-07-29,102078.87539849136
2016-08-01,100754.47677817784
2016-08-02,100810.11708445365
2016-08-03,101485.20388743252
2016-08-04,101258.36264320178
2016-08-05,101506.61093617961
2016-08-08,101076.73362527303
2016-08-09,101185.94865086308
2016-08-10,101320.70554268744
2016-08-11,101567.5420600701
2016-08-12,101424.69997213202
2016-08-15,101422.07946584663
2016-08-16,101323.79398325302
2016-08-17,102411.23491907732
2016-08-18,102705.86466096998
2016-08-19,102140.41164181555
2016-08-22,102201.39738105054
2016-08-23,103727.2946327019
2016-08-24,103189.11066584714
2016-08-25,102003.22615003746
2016-08-26,101899.69537017518
2016-08-29,101940.46303477818
2016-08-30,101772.24958133213
2016-08-31,102234.41209114253
2016-09-01,102188.37758546579
2016-09-02,103240.9010311815
2016-09-06,103502.60711124586
2016-09-07,102064.30127923045
2016-09-08,101714.72239804194
2016-09-09,100867.06161531547
2016-09-12,101387.52430813358
2016-09-13,100872.86985309934
2016-09-14,100917.85262994307
2016-09-15,101335.11687326976
2016-09-16,101404.14977940201
2016-09-19,101970.13619589385
2016-09-20,101943.54440952626
2016-09-21,102509.55095556602
2016-09-22,102953.55419859053
2016-09-23,102302.27151938027
2016-09-26,100933.42633209136
2016-09-27,101860.17859670834
2016-09-28,101595.15672445137
2016-09-29,100801.94510602069
2016-09-30,101474.51467660088
2016-10-03,101337.89780069087
2016-10-04,101238.8562555713
2016-10-05,101549.55673105562
2016-10-06,101310.20338006776
2016-10-07,101219.60228345662
2016-10-10,101013.0538468571
2016-10-11,99971.77179962522
2016-10-12,99919.50889488442
2016-10-13,99879.84604306064
2016-10-14,99929.27248724547
2016-10-17,99780.74943951119
2016-10-18,99991.38802634217
2016-10-19,100677.621145198
2016-10-20,100419.32967709991
2016-10-21,100391.43535335001
2016-10-24,100613.11119522789
2016-10-25,100633.07013506806
2016-10-26,100732.20802365412
2016-10-27,100635.05596506502
2016-10-28,100611.92330225548
2016-10-31,100848.26485903203
2016-11-01,100127.26613992071
2016-11-02,99929.4579606896
2016-11-03,100073.20942858644
2016-11-04,100167.19384184184
2016-11-07,100823.81574336877
2016-11-08,100791.2323951594
2016-11-09,101030.48477287238
2016-11-10,100814.9573767943
2016-11-11,101716.32365075067
2016-11-14,102000.84722620822
2016-11-15,102039.70851624997
2016-11-16,102050.81257520139
2016-11-17,101960.59778298314
2016-11-18,101860.66475196625
2016-11-21,101992.5183071082
2016-11-22,102160.45917895579
2016-11-23,102299.25233349914
2016-11-25,102396.40555860352
2016-11-28,102100.77792419455
2016-11-29,101988.35268104292
2016-11-30,101864.82921151626
2016-12-01,101920.34717324277
2016-12-02,101769.06064004939
2016-12-05,101963.37408934982
2016-12-06,102236.79477237124
2016-12-07,102283.98148196716
2016-12-08,102253.44677799488
2016-12-09,101853.721653019
2016-12-12,101616.38828670322
2016-12-13,101560.87032497671
2016-12-14,102411.09431901074
2016-12-15,102902.3045713449
2016-12-16,102704.70504850039
2016-12-19,102931.5234460812
2016-12-20,103002.49073617757
2016-12-21,103052.58206882098
2016-12-22,102970.48388992177
2016-12-23,102977.44098705238
2016-12-27,102925.96033471034
2016-12-28,102708.87650714208
2016-12-29,102763.14746403415
2016-12-30,102773.48366485839
2017-01-03,102981.61646056647
2017-01-04,103781.15199609693
2017-01-05,101847.22063547341
2017-01-06,101592.0444445533
2017-01-09,101300.49902038487
2017-01-10,102576.52457438652
2017-01-11,102858.52827458538
2017-01-12,102161.13727105911
2017-01-13,102607.87758354476
2017-01-17,101602.20430873489
2017-01-18,102067.19179697921
2017-01-19,101837.75156923928
2017-01-20,102219.8483052749
2017-01-23,102384.05005524973
2017-01-24,103336.84390193825
2017-01-25,103184.0421222524
2017-01-26,103318.56293735863
2017-01-27,102979.54659918108
2017-01-30,102586.12386124989
2017-01-31,102504.40767865436
2017-02-01,102551.68999780234
2017-02-02,102515.48015229139
2017-02-03,102734.30834594503
2017-02-06,102641.77177259192
2017-02-07,102475.52047197364
2017-02-08,102860.98976943552
2017-02-09,103764.04015466527
2017-02-10,103933.39185332405
2017-02-13,104358.7654543186
2017-02-14,104554.00429967217
2017-02-15,105550.77072332683
2017-02-16,105410.53012526027
2017-02-17,105475.20316147534
2017-02-21,105919.51859755958
2017-02-22,106566.82676034604
2017-02-23,106120.06071233601
2017-02-24,107040.07143705449
2017-02-27,107383.98507907748
2017-02-28,106405.82951409565
2017-03-01,107674.4890359152
2017-03-02,107315.22170465798
2017-03-03,107296.36888724074
2017-03-06,106951.19013567694
2017-03-07,105466.11323993877
2017-03-08,104837.13516213985
2017-03-09,104997.56086207074
2017-03-10,105046.37836002826
2017-03-13,105724.39821162485
2017-03-14,105604.91381726836
2017-03-15,105684.47739839791
2017-03-16,105628.42104357031
2017-03-17,105634.69467427154
2017-03-20,105656.52012446168
2017-03-21,104394.2840767274
2017-03-22,104678.35876772835
2017-03-23,105344.01543321242
2017-03-24,105133.39859155912
2017-03-27,104780.85407043388
2017-03-28,105157.64427059304
2017-03-29,105169.51208826387
2017-03-30,105294.8972315391
2017-03-31,105328.6973724504
2017-04-03,105182.79459594777
2017-04-04,105099.28047151976
2017-04-05,104653.57314974754
2017-04-06,104847.72925288999
2017-04-07,104794.03278778135
2017-04-10,104906.70093653107
2017-04-11,105395.8210493787
2017-04-12,104842.23404143137
2017-04-13,104741.57251466782
2017-04-17,105414.77806051151
2017-04-18,105491.88410512527
2017-04-19,105450.80323889868
2017-04-20,105672.09978604541
2017-04-21,105668.45796086318
2017-04-24,106188.69876608664
2017-04-25,106450.79485750957
2017-04-26,107097.36002224102
2017-04-27,107111.42342284993
2017-04-28,108334.79089139038
2017-05-01,108138.33641388081
2017-05-02,107728.10789278196
2017-05-03,107340.12630457131
2017-05-04,108444.83590995925
2017-05-05,110093.56015596732
2017-05-08,110477.71449601601
2017-05-09,110213.93777135733
2017-05-10,111151.23577892926
2017-05-11,110322.59161008638
2017-05-12,110491.37088223659
2017-05-15,110851.98511808325
2017-05-16,111714.22905086416
2017-05-17,109022.41189655042
2017-05-18,109424.47222082535
2017-05-19,110027.36529343278
2017-05-22,109798.66611432162
2017-05-23,108438.72935945427
2017-05-24,108002.16844111208
2017-05-25,109200.4717588108
2017-05-26,109247.43143369906
2017-05-30,108160.00857128692
2017-05-31,108382.00372883397
2017-06-01,109276.83070039711
2017-06-02,108697.78647584992
2017-06-05,108304.18267670034
2017-06-06,108313.44925219417
2017-06-07,108269.09574060055
2017-06-08,109130.65431594141
2017-06-09,109386.3909534549
2017-06-12,108113.72913364632
2017-06-13,107727.42034571295
2017-06-14,107318.69425282128
2017-06-15,107154.80557106294
2017-06-16,106757.10628961389
2017-06-19,108106.91082081807
2017-06-20,107142.57025451293
2017-06-21,107395.40686624983
2017-06-22,107541.48309540996
2017-06-23,107856.36512099288
2017-06-26,107691.9922756794
2017-06-27,107254.99285069833
2017-06-28,107699.67101970463
2017-06-29,107078.74172911336
2017-06-30,107214.61867683631
2017-07-03,107063.35616686557
2017-07-05,107638.73667842345
2017-07-06,107522.24810414053
2017-07-07,108103.59066760338
2017-07-10,107885.10160638568
2017-07-11,107723.67244148997
2017-07-12,108448.08722149552
2017-07-13,108456.60743110994
2017-07-14,108576.08472009168
2017-07-17,108796.3219422967
2017-07-18,108583.46055774405
2017-07-19,107910.4824445416
2017-07-20,107598.41260887728
2017-07-21,107271.08186086123
2017-07-24,107712.83842785399
2017-07-25,107512.20632344543
2017-07-26,107240.31813834295
2017-07-27,106785.6521045138
2017-07-28,108759.0282058685
2017-07-31,108168.72474871983
2017-08-01,108716.02791160299
2017-08-02,108140.48556418491
2017-08-03,108430.91420865327
2017-08-04,108316.67376575265
2017-08-07,108848.306830159
2017-08-08,108865.58962670865
2017-08-09,108995.2915972806
2017-08-10,108137.6543502002
2017-08-11,108226.50416481128
2017-08-14,108496.46298735957
2017-08-15,108875.85890716701
2017-08-16,108938.96278171527
2017-08-17,107533.1623795536
2017-08-18,107413.2157500415
2017-08-21,107266.03836837644
2017-08-22,107778.70958448976
2017-08-23,107812.36443851313
2017-08-24,108088.33047563954
2017-08-25,107778.70958448976
2017-08-28,108065.89447687627
2017-08-29,107940.25151439643
2017-08-30,108040.09316388637
2017-08-31,108248.75120472298
2017-09-01,108208.36572224632
2017-09-05,108539.30141133614
2017-09-06,108236.41114863964
2017-09-07,108613.3417478362
2017-09-08,108776.00487856608
2017-09-11,109076.65102785916
2017-09-12,109249.41181302594
2017-09-13,109014.95245919944
2017-09-14,109159.66610621591
2017-09-15,109119.28062373925
2017-09-18,109723.65262816724
2017-09-19,109751.87505155333
2017-09-20,109925.41408242204
2017-09-21,109549.19640140168
2017-09-22,109938.64050211741
2017-09-25,109574.51427613875
2017-09-26,109405.90647947261
2017-09-27,110524.92248019291
2017-09-28,110040.16312686633
2017-09-29,111047.4047909771
2017-10-02,111666.39000664171
2017-10-03,111838.40628654449
2017-10-04,111983.79818576496
2017-10-05,111994.12303716881
2017-10-06,112373.93805926971
2017-10-09,112715.9115626018
2017-10-10,112557.62848834333
2017-10-11,113570.65373084092
2017-10-12,113540.05836960603
2017-10-13,113742.80696426508
2017-10-16,114638.69284465013
2017-10-17,114921.1010764752
2017-10-18,115461.44943846566
2017-10-19,115533.579896981
2017-10-20,116020.68723759151
2017-10-23,116262.93535169012
2017-10-24,116514.10952226174
2017-10-25,115048.24313419693
2017-10-26,115930.92130816563
2017-10-27,120491.2250726641
2017-10-30,120396.631892154
2017-10-31,122142.20547945684
2017-11-01,118282.07255747067
2017-11-02,119802.30976299293
2017-11-03,122640.85494907052
2017-11-06,122955.6750346308
2017-11-07,122592.3640284083
2017-11-08,124197.2755086332
2017-11-09,122267.52170230822
2017-11-10,122402.59375028888
2017-11-13,123466.15007460889
2017-11-14,126046.16500239412
2017-11-15,122658.49892673687
2017-11-16,125065.00582728085
2017-11-17,124558.04179749095
2017-11-20,125606.0824883247
2017-11-21,127498.20022099216
2017-11-22,125844.11077776393
2017-11-24,126952.31381386932
2017-11-27,125797.19014750115
2017-11-28,126092.90531119614
2017-11-29,121413.54008454707
2017-11-30,121367.62582280052
2017-12-01,118609.60881456532
2017-12-04,114877.52837221527
2017-12-05,115397.30188863151
2017-12-06,116131.87658052545
2017-12-07,117441.92982133038
2017-12-08,117042.95153075932
2017-12-11,116601.99784452148
2017-12-12,116657.63088069038
2017-12-13,116834.08178106729
2017-12-14,116838.29951458998
2017-12-15,117340.753210105
2017-12-18,117982.78074378501
2017-12-19,117776.7976620179
2017-12-20,117766.66753948755
2017-12-21,115890.06190966698
2017-12-22,116302.19514381018
2017-12-26,115862.65909278963
2017-12-27,116295.51235934853
2017-12-28,115745.6722097157
2017-12-29,114588.23262531045
2018-01-02,115716.14067669024
2018-01-03,116524.64324985203
2018-01-04,116837.98206740731
2018-01-05,118091.00587526124
2018-01-08,119184.13594536346
2018-01-09,119180.27428264197
2018-01-10,118414.45223080214
2018-01-11,119019.35044419534
2018-01-12,119664.50960346236
2018-01-16,120538.78951815194
2018-01-17,122014.6373714236
2018-01-18,121999.96405190707
2018-01-19,121946.0153991481
2018-01-22,121810.85804894987
2018-01-23,122619.17224453896
2018-01-24,122029.10487072411
2018-01-25,121435.87321478529
2018-01-26,123677.4469706571
2018-01-29,122558.7184836066
2018-01-30,121611.97987511283
2018-01-31,120524.1286148238
2018-02-01,119810.20498203913
2018-02-02,119480.07465643375
2018-02-05,117262.71426300319
2018-02-06,117222.78603722679
2018-02-07,115990.84366428398
2018-02-08,113607.62647390409
2018-02-09,115171.53782180403
2018-02-12,115874.74089792199
2018-02-13,115368.14180678508
2018-02-14,117608.44044113536
2018-02-15,118607.46282598055
2018-02-16,118409.45708059458
2018-02-20,119441.28791408557
2018-02-21,118755.24668550545
2018-02-22,119612.22911915241
2018-02-23,120376.42568183094
2018-02-26,120953.93758877025
2018-02-27,120367.95419902021
2018-02-28,120453.95941815746
2018-03-01,118364.72708287508
2018-03-02,119558.39502424712
2018-03-05,119932.46145661123
2018-03-06,120457.50054873359
2018-03-07,121431.55949319973
2018-03-08,122227.93795473504
2018-03-09,122972.35486581278
2018-03-12,123599.42505828608
2018-03-13,122596.21784722358
2018-03-14,123036.81840915143
2018-03-15,123002.6532875009
2018-03-16,122760.08073710505
2018-03-19,122000.29073452097
2018-03-20,122669.91491137682
2018-03-21,122829.9733692569
2018-03-22,121046.61914828036
2018-03-23,119245.4071071137
2018-03-26,121195.12539857604
2018-03-27,118992.30224615135
2018-03-28,118211.99373472383
2018-03-29,119291.22785180573
2018-04-02,117632.05594354778
2018-04-03,117921.89300119216
2018-04-04,118625.17374382837
2018-04-05,119092.30935904212
2018-04-06,117248.10841583453
2018-04-09,117572.14954023683
2018-04-10,119186.15649954528
2018-04-11,118932.72759214998
2018-04-12,119931.53872938492
2018-04-13,119556.711604652
2018-04-16,119701.63034039387
2018-04-17,119760.28121387147
2018-04-18,119827.56801373397
2018-04-19,119732.68250540172
2018-04-20,119706.80519344193
2018-04-23,119637.79547370975
2018-04-24,119515.30821018828
2018-04-25,119529.10984946277
2018-04-26,119787.89058585942
2018-04-27,119837.92381326905
2018-04-30,119503.26078635262
2018-05-01,119439.50806547707
2018-05-02,118297.26302685213
2018-05-03,118504.93428154041
2018-05-04,118369.90503335158
2018-05-07,118145.1132430996
2018-05-08,117926.7352865044
2018-05-09,118115.43831419814
2018-05-10,118374.90549925977
2018-05-11,118539.17555842055
2018-05-14,118485.25961224863
2018-05-15,118475.15124231264
2018-05-16,118390.90879437876
2018-05-17,118399.33429193075
2018-05-18,118449.87892551867
2018-05-21,118498.73790281461
2018-05-22,118283.0755100809
2018-05-23,118273.81205622191
2018-05-24,118348.79105029682
2018-05-25,118280.5518974819
2018-05-29,118262.02359780992
2018-05-30,118590.1277084396
2018-05-31,118465.03566678165
2018-06-01,118725.33499450929
2018-06-04,118846.30722153156
2018-06-05,119021.82869388415
2018-06-06,119522.45786307713
2018-06-07,117743.3718442206
2018-06-08,117722.46563626695
2018-06-11,117759.93396550158
2018-06-12,118770.02488766519
2018-06-13,117929.21769419672
2018-06-14,117801.54938940235
2018-06-15,117616.07955101751
2018-06-18,117328.47343097779
2018-06-19,116933.25845077353
2018-06-20,116763.81596672497
2018-06-21,116350.44157196925
2018-06-22,116014.88186556533
2018-06-25,115295.71471874676
2018-06-26,115381.18673857048
2018-06-27,114539.37145315894
2018-06-28,114503.76487750301
2018-06-29,114326.80255191085
2018-07-02,114676.3039578969
2018-07-03,114658.04034227428
2018-07-05,115002.27640698472
2018-07-06,115322.22664580199
2018-07-09,115784.71309038247
2018-07-10,115752.66215175051
2018-07-11,115534.80980113495
2018-07-12,115740.36670917696
2018-07-13,115850.10103122045
2018-07-16,115545.38250559964
2018-07-17,115904.48945817423
2018-07-18,115809.69596156986
2018-07-19,116346.41070894958
2018-07-20,117083.72475892548
2018-07-23,117325.26228709053
2018-07-24,117211.4343891269
2018-07-25,117555.66266458808
2018-07-26,117847.79334874154
2018-07-27,117363.58357278122
2018-07-30,117379.15140274781
2018-07-31,117597.69322807158
2018-08-01,117556.76333732331
2018-08-02,118054.15318518324
2018-08-03,118099.83327174454
2018-08-06,118556.38451727372
2018-08-07,118683.17043128962
2018-08-08,118948.11586947992
2018-08-09,119138.31629257335
2018-08-10,119031.26699814782
2018-08-13,118205.07926390301
2018-08-14,119323.77968633319
2018-08-15,119103.3973434383
2018-08-16,119721.18986264979
2018-08-17,120029.97071865655
2018-08-20,120074.64502725485
2018-08-21,120253.73520395397
2018-08-22,120176.46503580653
2018-08-23,120525.03056940986
2018-08-24,120619.7238703325
2018-08-27,120563.36085331699
2018-08-28,121081.26596977633
2018-08-29,121231.04182296905
2018-08-30,120568.97345660464
2018-08-31,121287.93084913466
2018-09-04,122528.71401750475
2018-09-05,122251.51015545875
2018-09-06,122380.58133364694
2018-09-07,122455.69800004843
2018-09-10,122538.06570307826
2018-09-11,122662.7212232582
2018-09-12,122386.02742100427
2018-09-13,123229.40292530392
2018-09-14,123062.25504415313
2018-09-17,121825.49954325779
2018-09-18,122455.25810586131
2018-09-19,122110.08295948437
2018-09-20,123210.0093757417
2018-09-21,123283.65080948677
2018-09-24,122557.70949766223
2018-09-25,123122.78930336412
2018-09-26,121772.17481137239
2018-09-27,121712.66362247436
2018-09-28,121681.4051617852
2018-10-01,121532.11771511778
2018-10-02,119615.24361947269
2018-10-03,120059.75445173006
2018-10-04,119136.32179721433
2018-10-05,118948.53429185115
2018-10-08,119081.1422114551
2018-10-09,118800.23536290045
2018-10-10,116493.31180502924
2018-10-11,115509.37116389495
2018-10-12,116342.46725938612
2018-10-15,116571.81148990469
2018-10-16,116950.54060235052
2018-10-17,115404.49720966429
2018-10-18,115589.61147250744
2018-10-19,115661.23653259425
2018-10-22,115910.91335589567
2018-10-23,115684.43859001726
2018-10-24,114801.74158392662
2018-10-25,114888.4989225392
2018-10-26,114965.6712340711
2018-10-29,115122.03474495267
2018-10-30,115187.10238813874
2018-10-31,114696.82724279529
2018-11-01,114466.25142379635
2018-11-02,114781.95219913339
2018-11-05,114338.3107207182
2018-11-06,114705.08715320942
2018-11-07,115481.29224911482
2018-11-08,116207.9210492879
2018-11-09,116048.44487551966
2018-11-12,115635.69509846244
2018-11-13,115857.93309208074
2018-11-14,115488.09970757438
2018-11-15,113970.79516952079
2018-11-16,114525.6262708194
2018-11-19,114538.2597114777
2018-11-20,113166.2396294378
2018-11-21,113645.9224684319
2018-11-23,113900.64290354407
2018-11-26,113918.79990606279
2018-11-27,114024.22077301546
2018-11-28,114316.26682171425
2018-11-29,114113.49919598667
