ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
LH,2016-06-03,2016-06-07,106.2345,106.0789,116.9816,-18.19,-0.018,4,F3_FAIL,CHOPPY
VMC,2016-05-27,2016-08-05,109.5974,109.3951,114.0538,-23.07,-0.023,70,F3_FAIL,CHOPPY
MLM,2016-05-27,2016-08-11,177.4936,184.6454,70.4251,503.67,0.504,76,F3_FAIL,CHOPPY
DLTR,2016-07-26,2016-08-25,96.45,88.734,131.0473,-1011.16,-1.0,30,STOP,UPTREND
HPQ,2016-08-24,2016-08-30,10.583,10.3738,1225.168,-256.31,-0.247,6,F3_FAIL,UPTREND
BDC,2016-08-31,2016-09-08,72.0486,66.2848,176.5686,-1017.72,-1.0,8,STOP,UPTREND
INDV,2016-07-27,2016-09-28,18.0,19.45,703.2656,1019.74,1.007,63,F3_FAIL,UPTREND
DKS,2016-09-16,2016-10-03,46.2595,42.9355,273.8225,-910.18,-0.898,17,F3_FAIL,CHOPPY
STX,2016-09-23,2016-10-11,24.3381,24.3381,528.7671,0.0,0.0,18,STOP,UPTREND
POWI,2016-08-24,2016-11-11,26.4172,29.5391,490.8129,1532.25,1.477,79,F3_FAIL,UPTREND
HST,2017-01-05,2017-01-09,13.6604,12.8819,949.6502,-739.37,-0.712,4,F3_FAIL,UPTREND
LUV,2017-01-05,2017-01-09,45.9515,44.9331,282.3116,-287.5,-0.277,4,F3_FAIL,UPTREND
WST,2017-01-09,2017-01-19,84.0094,81.1043,151.1617,-439.14,-0.432,10,F3_FAIL,UPTREND
HAFC,2017-01-03,2017-01-31,24.1121,22.1831,532.7898,-1027.73,-1.0,28,STOP,UPTREND
THO,2017-02-08,2017-03-07,89.2984,89.2984,143.4454,0.0,0.0,27,STOP,UPTREND
BANC,2017-03-16,2017-03-23,17.0263,16.4167,775.8926,-472.93,-0.447,7,F3_FAIL,UPTREND
HAS,2017-03-20,2017-04-19,73.5372,70.0812,179.5599,-620.56,-0.587,30,F3_FAIL,UPTREND
NDSN,2016-08-22,2017-05-26,83.504,109.2737,152.8975,3940.12,3.858,277,F3_FAIL,UPTREND
RH,2017-05-04,2017-06-02,51.72,51.72,259.4261,0.0,0.0,29,STOP,UPTREND
GEO,2016-12-30,2017-06-22,15.7637,20.738,814.8723,4053.4,3.944,174,F3_FAIL,UPTREND
UAL,2017-05-25,2017-07-20,79.18,72.8456,170.501,-1080.02,-1.0,56,STOP,UPTREND
