date,equity
2021-05-27,100000.0
2021-05-28,100000.0
2021-06-01,100000.0
2021-06-02,99748.17867826216
2021-06-03,99694.59939097287
2021-06-04,99866.05229274671
2021-06-07,99689.24136004996
2021-06-08,100107.1585745786
2021-06-09,99978.56889824822
2021-06-10,99882.12638551547
2021-06-11,99855.33623090087
2021-06-14,99793.44345851848
2021-06-15,99683.77505864772
2021-06-16,99662.9005180644
2021-06-17,99833.1345639079
2021-06-18,99690.59946940362
2021-06-21,99800.270857345
2021-06-22,99917.07730992626
2021-06-23,99725.62260757799
2021-06-24,99711.23308190759
2021-06-25,99504.88117767655
2021-06-28,99921.60820348258
2021-06-29,99632.81192409157
2021-06-30,99481.41130522569
2021-07-01,99416.0857885611
2021-07-02,98869.83176202123
2021-07-06,98798.12283990462
2021-07-07,98754.71063672162
2021-07-08,98629.5795687955
2021-07-09,98766.20175845097
2021-07-12,98952.40963855489
2021-07-13,98742.52103411767
2021-07-14,98721.56242876264
2021-07-15,98616.24605353415
2021-07-16,98323.02795720872
2021-07-19,98323.05196744906
2021-07-20,99028.00208486296
2021-07-21,99239.51761727063
2021-07-22,99063.4753501942
2021-07-23,99349.66545458339
2021-07-26,99269.09363883716
2021-07-27,99353.21347241284
2021-07-28,99252.30556339459
2021-07-29,99518.24257270579
2021-07-30,99676.47072659819
2021-08-02,99714.50116716136
2021-08-03,100290.01034828936
2021-08-04,99967.78016155411
2021-08-05,101117.80487384212
2021-08-06,101330.991706976
2021-08-09,101251.04237651124
2021-08-10,100825.95154022367
2021-08-11,100638.63052649787
2021-08-12,101069.45005157389
2021-08-13,101407.97038577168
2021-08-16,101498.84155526035
2021-08-17,101254.3464330598
2021-08-18,100961.42316486513
2021-08-19,102557.85793107853
2021-08-20,103488.59990319778
2021-08-23,104093.08639847576
2021-08-24,104416.95041678176
2021-08-25,103940.26527837737
2021-08-26,104087.33167129637
2021-08-27,105437.69434544782
2021-08-30,106740.90543769387
2021-08-31,107072.91332507599
2021-09-01,107599.39431918936
2021-09-02,108552.36650089768
2021-09-03,109141.5458922065
2021-09-07,108412.06185414307
2021-09-08,107463.70638338286
2021-09-09,108364.49930573755
2021-09-10,108349.89090959297
2021-09-13,107197.06737733418
2021-09-14,107338.35144403676
2021-09-15,108068.55074538561
2021-09-16,108778.09314165225
2021-09-17,107095.88515793737
2021-09-20,106110.17624480327
2021-09-21,106993.73064032344
2021-09-22,108913.90530955818
2021-09-23,109619.2525852464
2021-09-24,109735.24666442671
2021-09-27,107587.92202198722
2021-09-28,103972.57145888181
2021-09-29,104167.4391661915
2021-09-30,105140.88674808663
2021-10-01,106145.75317778476
2021-10-04,105045.27275437604
2021-10-05,106640.8199016029
2021-10-06,107279.33549974159
2021-10-07,108552.26276021918
2021-10-08,108408.85769024298
2021-10-11,108713.62197526653
2021-10-12,108007.6072609525
2021-10-13,106930.11948103794
2021-10-14,107118.62300224282
2021-10-15,107274.60211958509
2021-10-18,107257.79067434158
2021-10-19,108586.43343280151
2021-10-20,108988.56376132042
2021-10-21,108396.81173084772
2021-10-22,108650.69505741616
2021-10-25,108650.87960968987
2021-10-26,108162.05059743047
2021-10-27,106481.84110077811
2021-10-28,107842.0475208261
2021-10-29,107553.26328786879
2021-11-01,108927.04866275874
2021-11-02,110208.15763844253
2021-11-03,111559.86912172966
2021-11-04,112146.99151818894
2021-11-05,111639.45898714697
2021-11-08,112500.28622447382
2021-11-09,112610.22792855283
2021-11-10,109725.76166387481
2021-11-11,110334.16187675652
2021-11-12,110582.76164713243
2021-11-15,110084.14770232345
2021-11-16,110776.14205418396
2021-11-17,110309.40698584
2021-11-18,109606.21232515547
2021-11-19,109509.20862164634
2021-11-22,108531.72769611208
2021-11-23,108299.14240530775
2021-11-24,108009.69978816545
2021-11-26,105748.39318816985
2021-11-29,106411.76849903255
2021-11-30,104586.04979276565
2021-12-01,103643.97339998982
2021-12-02,104805.39121380905
2021-12-03,104232.90924043578
2021-12-06,103687.16178355043
2021-12-07,105356.22883557758
2021-12-08,107770.92429096288
2021-12-09,107665.55387565604
2021-12-10,108084.57127798416
2021-12-13,107085.88958453221
2021-12-14,106046.66158456143
2021-12-15,107057.9018393486
2021-12-16,105934.76718179922
2021-12-17,105579.83630368153
2021-12-20,104184.17826711935
2021-12-21,106344.95385501393
2021-12-22,107028.3766660391
2021-12-23,108098.75987106061
2021-12-27,111526.83239678029
2021-12-28,110676.62359636193
2021-12-29,111298.58284388343
2021-12-30,109966.91043602378
2021-12-31,110413.19777193677
2022-01-03,108180.84642052307
