date,equity
2016-05-26,100000.0
2016-05-27,99886.7455715908
2016-05-31,99743.08016646102
2016-06-01,99771.393481576
2016-06-02,99613.04584133849
2016-06-03,99549.49486045417
2016-06-06,99725.48141107161
2016-06-07,99758.40627087763
2016-06-08,99893.6850594029
2016-06-09,99733.24120009501
2016-06-10,99592.71881832853
2016-06-13,99465.83186737685
2016-06-14,99454.29613627847
2016-06-15,99392.43026361483
2016-06-16,99444.86010489649
2016-06-17,99435.4205928685
2016-06-20,99564.40811369808
2016-06-21,99666.12912370563
2016-06-22,99624.18037777586
2016-06-23,99964.99392474056
2016-06-24,99918.85187050853
2016-06-27,99419.68981314483
2016-06-28,99604.25715991145
2016-06-29,99924.09633391125
2016-06-30,100103.41747695213
2016-07-01,100053.08211441783
2016-07-05,100030.01239254409
2016-07-06,100235.54715098353
2016-07-07,100255.47036884795
2016-07-08,100444.22841343231
2016-07-11,100483.02978519123
2016-07-12,100660.25557932323
2016-07-13,100675.98113807786
2016-07-14,100561.67933300202
2016-07-15,100569.02262595964
2016-07-18,100588.94410350104
2016-07-19,100549.09679761069
2016-07-20,100641.37568510571
2016-07-21,100634.03587279412
2016-07-22,100736.80890806363
2016-07-25,100602.57692383131
2016-07-26,100548.95578389743
2016-07-27,100564.02802346557
2016-07-28,100401.27937828637
2016-07-29,101300.07771552436
2016-08-01,100391.88811071514
2016-08-02,100304.67282614004
2016-08-03,100869.230297787
2016-08-04,100752.48585131846
2016-08-05,101010.57925684458
2016-08-08,100445.59805302421
2016-08-09,100591.76840530206
2016-08-10,100700.13346078148
2016-08-11,101056.21367502351
2016-08-12,100914.09701945621
2016-08-15,100911.48982157394
2016-08-16,100813.70348787741
2016-08-17,101893.3938823041
2016-08-18,102186.02425599608
2016-08-19,101624.52094289089
2016-08-22,101685.19796413717
2016-08-23,103202.9520586722
2016-08-24,102667.48925019844
2016-08-25,101488.56362194038
2016-08-26,101385.55588731886
2016-08-29,101426.11758784478
2016-08-30,101258.75409278297
2016-08-31,101717.72289810155
2016-09-01,101672.12339052765
2016-09-02,102718.16618020329
2016-09-06,102977.38453948041
2016-09-07,101547.7227737112
2016-09-08,101199.98141692122
2016-09-09,100356.67642207665
2016-09-12,100874.43647509922
2016-09-13,100362.38223600836
2016-09-14,100407.13760690452
2016-09-15,100822.29350444821
2016-09-16,100890.9768954344
2016-09-19,101454.10251144813
2016-09-20,101427.57220707335
2016-09-21,101990.71772148056
2016-09-22,102432.47774951952
2016-09-23,101784.48644060062
2016-09-26,100425.0311128279
2016-09-27,101347.09607610058
2016-09-28,101083.6347009181
2016-09-29,100294.43623606992
2016-09-30,100963.60422781334
2016-10-03,100827.67884085189
2016-10-04,100729.13814960334
2016-10-05,101038.26826802525
2016-10-06,100800.12667710379
2016-10-07,100709.98248560762
2016-10-10,100504.47770043532
2016-10-11,99468.46246970723
2016-10-12,99416.4639766011
2016-10-13,99377.00064476818
2016-10-14,99426.1774364905
2016-10-17,99278.40515096206
2016-10-18,99487.97909194187
2016-10-19,100170.7457618156
2016-10-20,99913.7599539808
2016-10-21,99886.00661293848
2016-10-24,100106.56210905842
2016-10-25,100126.41986398949
2016-10-26,100225.0566036368
2016-10-27,100128.39524057753
2016-10-28,100105.37908691405
2016-10-31,100340.52664772577
2016-11-01,99623.1710065612
2016-11-02,99426.36243414643
2016-11-03,99569.38727777259
2016-11-04,99662.89628902245
2016-11-07,100316.20064330037
2016-11-08,100283.7823374368
2016-11-09,100521.82592314656
2016-11-10,100307.38937059956
2016-11-11,101204.20062551399
2016-11-14,101487.28712955344
2016-11-15,101525.95213902653
2016-11-16,101537.000113607
2016-11-17,101447.24097817986
2016-11-18,101347.81268882583
2016-11-21,101479.00027815049
2016-11-22,101646.09291439415
2016-11-23,101784.18505259781
2016-11-25,101880.84757628052
2016-11-28,101586.71309766058
2016-11-29,101474.85569182556
2016-11-30,101351.9561145273
2016-12-01,101407.19366618284
2016-12-02,101256.67125087476
2016-12-05,101450.00326198085
2016-12-06,101722.04295206326
2016-12-07,101768.99133106896
2016-12-08,101738.61085175193
2016-12-09,101340.90465807648
2016-12-12,101104.77001491305
2016-12-13,101049.53246325752
2016-12-14,101895.46214670992
2016-12-15,102384.19139474498
2016-12-16,102187.58990739209
2016-12-19,102413.26269081516
2016-12-20,102483.87153938675
2016-12-21,102533.70987077247
2016-12-22,102452.02635328114
2016-12-23,102458.94831151183
2016-12-27,102407.72767760218
2016-12-28,102191.74029683424
2016-12-29,102245.73714202622
2016-12-30,102126.6711039694
2017-01-03,102154.3005340895
2017-01-04,102809.28371381198
2017-01-05,101597.67483964389
2017-01-06,101461.35035660744
2017-01-09,101193.69073256134
2017-01-10,102082.31229648541
2017-01-11,102178.60462229719
2017-01-12,101442.18339011182
2017-01-13,101638.71501023098
2017-01-17,100745.47863464756
2017-01-18,100981.60316155938
2017-01-19,100810.52619244273
2017-01-20,100910.25812497226
2017-01-23,100922.72089953316
2017-01-24,101457.22758757923
2017-01-25,101495.90175197777
2017-01-26,101414.20518921157
2017-01-27,101285.41216813496
2017-01-30,100847.75996999705
2017-01-31,100586.93594092026
2017-02-01,100616.01187948421
2017-02-02,100562.01735553912
2017-02-03,100826.45380142817
2017-02-06,100658.92825263923
2017-02-07,100586.93594092026
2017-02-08,100837.91565564487
2017-02-09,101237.51103185213
2017-02-10,101268.38342744429
2017-02-13,101332.67121911621
2017-02-14,101356.56995902919
2017-02-15,102010.05481066607
2017-02-16,101939.91266714636
2017-02-17,101979.62759745328
2017-02-21,102048.6506715817
2017-02-22,102112.02052728437
2017-02-23,101808.2250906733
2017-02-24,102155.80052903085
2017-02-27,102477.48229846964
2017-02-28,102003.89709399958
2017-03-01,102973.43338617112
2017-03-02,102860.24238972372
2017-03-03,103063.76771294221
2017-03-06,103203.37940711032
2017-03-07,102126.58186415644
2017-03-08,102102.99335324418
2017-03-09,102065.52378592026
2017-03-10,102114.09471650317
2017-03-13,102336.11269669545
2017-03-14,102250.08032315274
2017-03-15,102467.93514704495
2017-03-16,102338.71622396795
2017-03-17,102261.01364489569
2017-03-20,102158.37414098192
2017-03-21,101347.50359665128
2017-03-22,101169.60088173699
2017-03-23,101482.10341890657
2017-03-24,101387.74357214032
2017-03-27,101237.88155157288
2017-03-28,101409.94513803485
2017-03-29,101378.03031452249
2017-03-30,101525.42314505728
2017-03-31,101514.40067927196
2017-04-03,101380.9996672908
2017-04-04,101220.14009337324
2017-04-05,100843.30842746307
2017-04-06,100953.00092634947
2017-04-07,100909.28970817676
2017-04-10,100882.58914758821
2017-04-11,101086.39299598627
2017-04-12,100702.89079805717
2017-04-13,100423.65484583484
2017-04-17,100643.36256995983
2017-04-18,100705.98131568822
2017-04-19,100720.49227779401
2017-04-20,100949.15422810645
2017-04-21,100878.10447173295
2017-04-24,101339.78491212566
2017-04-25,101147.65191790008
2017-04-26,101523.87926271107
2017-04-27,101629.3753741167
2017-04-28,103126.58460138811
2017-05-01,103110.5127579103
2017-05-02,103247.85547231467
2017-05-03,103046.62572105949
2017-05-04,104313.70112621973
2017-05-05,105284.18199687597
2017-05-08,105335.26682636628
2017-05-09,105575.23460904422
2017-05-10,106176.36877945202
2017-05-11,105442.34826322149
2017-05-12,105455.79752012694
2017-05-15,105493.24640523593
2017-05-16,106219.8959693866
2017-05-17,104966.75335425683
2017-05-18,105159.22701408487
2017-05-19,105637.8955355398
2017-05-22,105829.32150495201
2017-05-23,104714.11332456177
2017-05-24,104178.79492241552
2017-05-25,104471.99915879934
2017-05-26,104695.08648599577
2017-05-30,104149.46556295641
2017-05-31,104603.86489255542
2017-06-01,104963.8577368966
2017-06-02,103992.71134696707
2017-06-05,103899.4918400709
2017-06-06,103876.98973411096
2017-06-07,103931.6370050261
2017-06-08,104219.86931367175
2017-06-09,103901.63528706018
2017-06-12,103318.74196377206
2017-06-13,103422.67707064364
2017-06-14,103414.10491765752
2017-06-15,103384.1031996916
2017-06-16,103516.96748354894
2017-06-19,103992.71134696707
2017-06-20,103702.33722630315
2017-06-21,103962.70962900115
2017-06-22,103991.64044095794
2017-06-23,104399.87962146725
2017-06-26,104203.79591370864
2017-06-27,103954.13747601504
2017-06-28,104264.87189062062
2017-06-29,103876.98973411096
2017-06-30,104037.71392391596
2017-07-03,103920.9214050507
2017-07-05,104232.72672566542
2017-07-06,103996.99824094564
2017-07-07,104233.79763167456
2017-07-10,104194.15285471338
2017-07-11,104195.22376072253
2017-07-12,104293.8010676064
2017-07-13,104259.51409063292
2017-07-14,104485.59951635744
2017-07-17,104690.25537710218
2017-07-18,104669.89671813152
2017-07-19,105019.20336871814
2017-07-20,105114.56632260358
2017-07-21,104975.2716977784
2017-07-24,105223.85922946286
2017-07-25,104942.05562681405
2017-07-26,104955.98557978788
2017-07-27,104802.76100198887
2017-07-28,106495.72279492897
2017-07-31,105871.04124769039
2017-08-01,106106.76973241018
2017-08-02,105952.47588357302
2017-08-03,106217.13518024958
2017-08-04,106092.84141440736
2017-08-07,106597.51445481126
2017-08-08,106555.7262308608
2017-08-09,106786.0985505639
2017-08-10,106299.63908717036
2017-08-11,106549.29752486397
2017-08-14,106613.58785477436
2017-08-15,107021.82703528367
