date,equity
2021-05-27,100000.0
2021-05-28,100000.0
2021-06-01,100000.0
2021-06-02,100000.0
2021-06-03,100000.0
2021-06-04,100000.0
2021-06-07,100000.0
2021-06-08,100000.0
2021-06-09,100000.0
2021-06-10,100000.0
2021-06-11,100000.0
2021-06-14,100000.0
2021-06-15,100000.0
2021-06-16,100000.0
2021-06-17,100000.0
2021-06-18,100000.0
2021-06-21,100000.0
2021-06-22,100000.0
2021-06-23,100000.0
2021-06-24,99996.77473498929
2021-06-25,99821.77365210748
2021-06-28,99960.46314295696
2021-06-29,99670.83252659286
2021-06-30,99518.94974327258
2021-07-01,99395.82374099371
2021-07-02,98950.5249582691
2021-07-06,98778.75110927402
2021-07-07,98778.75110927402
2021-07-08,98778.75110927402
2021-07-09,98778.75110927402
2021-07-12,98727.45954909187
2021-07-13,98766.5599578447
2021-07-14,98896.28537688869
2021-07-15,98813.94175792427
2021-07-16,98418.83085541756
2021-07-19,98419.17206734719
2021-07-20,99123.2807880588
2021-07-21,99334.53952171006
2021-07-22,99159.01902604355
2021-07-23,99444.9025052778
2021-07-26,99364.31271571679
2021-07-27,99448.280770207
2021-07-28,99347.52250716144
2021-07-29,99613.1038983825
2021-07-30,99771.20258456597
2021-08-02,99809.0960192528
2021-08-03,100384.11097691843
2021-08-04,100062.39172304673
2021-08-05,101211.19576242367
2021-08-06,101420.05155865886
2021-08-09,101385.20260824953
2021-08-10,100898.01383173894
2021-08-11,100710.55002593316
2021-08-12,101141.83507589638
2021-08-13,101480.61069809954
2021-08-16,101571.31063136841
2021-08-17,101326.6181387445
2021-08-18,101033.44791957506
2021-08-19,102631.39761323389
2021-08-20,103562.84885131149
2021-08-23,104168.11034182011
2021-08-24,104492.19270877985
2021-08-25,104015.33634105086
2021-08-26,104162.5309445434
2021-08-27,105513.93843230784
2021-08-30,106818.13689264316
2021-08-31,106535.78916839842
2021-09-01,106887.53155113623
2021-09-02,107947.85037125339
2021-09-03,108527.69351856972
2021-09-07,107789.60330390479
2021-09-08,107628.1161176682
2021-09-09,107290.79316036843
2021-09-10,107298.92783344764
2021-09-13,106450.84934287905
2021-09-14,106767.32331115426
2021-09-15,107583.32518811489
2021-09-16,108279.44923986902
2021-09-17,106759.65539972682
2021-09-20,105799.74497445513
2021-09-21,106841.1231541126
2021-09-22,107822.76734846074
2021-09-23,108436.00657888823
2021-09-24,108593.60928154134
2021-09-27,106729.77254466627
2021-09-28,103805.74769655945
2021-09-29,103954.77424769371
2021-09-30,104795.50948260978
2021-10-01,105711.01239377305
2021-10-04,104777.4971737331
2021-10-05,105654.56228717098
2021-10-06,106084.95746429382
2021-10-07,106251.83740553213
2021-10-08,105870.67709890903
2021-10-11,105843.62626163237
2021-10-12,105604.26761915983
2021-10-13,105072.88165156974
2021-10-14,105648.75150433305
2021-10-15,106213.30671969074
2021-10-18,106573.87008486076
2021-10-19,106485.3127282332
2021-10-20,106395.7314136169
2021-10-21,107228.87129142735
2021-10-22,107443.44459933709
2021-10-25,107798.4040509896
2021-10-26,107196.36102121146
2021-10-27,106186.15519707504
2021-10-28,107513.41135765632
2021-10-29,107375.21809844373
2021-11-01,108491.25433136808
2021-11-02,110438.30861248003
2021-11-03,111378.70040153532
2021-11-04,112613.85356361693
2021-11-05,111720.84726565696
2021-11-08,112499.34894401874
2021-11-09,112462.3050558971
2021-11-10,110155.26347653987
2021-11-11,110788.09899969804
2021-11-12,111002.393595667
2021-11-15,110370.4004143539
2021-11-16,111065.16383404014
2021-11-17,110596.9617565743
2021-11-18,109593.4833477523
2021-11-19,109675.952472122
2021-11-22,108431.8863083014
2021-11-23,108295.85023017327
2021-11-24,108638.1321370193
2021-11-26,107597.89247642981
2021-11-29,108424.64700580941
2021-11-30,107010.32315205284
2021-12-01,106044.79585496007
2021-12-02,107231.41023255451
2021-12-03,106657.966535031
2021-12-06,106108.81615967726
2021-12-07,107811.56040924584
2021-12-08,110224.2291895691
2021-12-09,110121.42037325553
2021-12-10,110553.7342284015
2021-12-13,109553.19045009135
2021-12-14,108753.92560529624
2021-12-15,109522.90312041252
2021-12-16,108355.99515258479
2021-12-17,108471.71064712325
2021-12-20,107310.0441004525
2021-12-21,109249.8477522649
2021-12-22,109831.09455424166
2021-12-23,110741.0786403163
2021-12-27,113937.6683638918
2021-12-28,112977.08043938002
2021-12-29,113346.80873734615
2021-12-30,112055.71806240213
2021-12-31,112475.56952701272
2022-01-03,110751.05003447991
2022-01-04,110758.35380277681
2022-01-05,107233.82952979635
2022-01-06,107290.805787379
