ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
CRUS,2016-06-24,2016-06-28,39.16,37.82,318.295,-426.52,-0.428,4,F3_FAIL,UPTREND
USPH,2016-06-17,2016-06-30,51.6238,52.4956,239.1309,208.49,0.211,13,F3_FAIL,UPTREND
YELP,2016-07-05,2016-07-15,30.33,29.46,411.4843,-357.99,-0.359,10,F3_FAIL,UPTREND
IIIN,2016-07-26,2016-08-04,22.7876,20.9646,553.8862,-1009.74,-1.0,9,STOP,UPTREND
VMC,2016-05-27,2016-08-05,109.5974,109.3951,114.0538,-23.07,-0.023,70,F3_FAIL,CHOPPY
MLM,2016-05-27,2016-08-11,177.4936,184.6454,70.4251,503.67,0.504,76,F3_FAIL,CHOPPY
DLTR,2016-07-26,2016-08-25,96.45,88.734,130.8632,-1009.74,-1.0,30,STOP,UPTREND
CYTK,2016-09-01,2016-09-01,12.51,11.5092,995.4411,-996.24,-1.0,0,STOP,UPTREND
AMWD,2016-09-01,2016-09-14,86.9,79.948,143.3023,-996.24,-1.0,13,STOP,UPTREND
INDV,2016-08-01,2016-09-26,19.75,19.75,643.9416,0.0,0.0,56,STOP,UPTREND
HTO,2016-07-25,2016-09-29,32.697,35.2929,386.2706,1002.72,0.992,66,F3_FAIL,UPTREND
DKS,2016-09-23,2016-09-30,47.0349,43.2721,265.6773,-999.69,-1.0,7,STOP,UPTREND
BSX,2016-06-10,2016-10-04,23.22,23.28,536.4199,32.19,0.032,116,F3_FAIL,UPTREND
GOOGL,2016-09-23,2016-10-04,40.4229,39.8105,309.134,-189.33,-0.189,11,F3_FAIL,UPTREND
HWC,2016-10-06,2016-10-10,25.5034,25.5651,479.22,29.58,0.03,4,F3_FAIL,CHOPPY
STX,2016-09-23,2016-10-11,24.3381,24.3381,513.4371,0.0,0.0,18,STOP,UPTREND
IDCC,2016-10-24,2016-10-27,67.6097,62.2009,179.019,-968.27,-1.0,3,STOP,CHOPPY
HWC,2016-10-12,2016-11-07,25.5188,26.2365,473.688,339.94,0.352,26,F3_FAIL,CHOPPY
POWI,2016-08-25,2016-11-11,26.449,29.5391,474.8629,1467.36,1.46,78,F3_FAIL,UPTREND
ASTE,2016-12-08,2016-12-15,64.0084,58.8878,188.4446,-964.96,-1.0,7,STOP,UPTREND
VECO,2016-12-06,2017-01-11,27.25,27.25,443.152,0.0,0.0,36,STOP,UPTREND
JBTM,2017-01-03,2017-02-03,84.1319,84.6149,143.4636,69.29,0.072,31,F3_FAIL,UPTREND
ROG,2017-01-10,2017-02-09,78.55,79.91,153.6598,208.98,0.216,30,F3_FAIL,UPTREND
FRPT,2017-02-09,2017-02-16,11.8,10.856,1069.2774,-1009.4,-1.0,7,STOP,UPTREND
THO,2017-02-08,2017-03-07,89.2984,89.2984,140.764,0.0,0.0,27,STOP,UPTREND
CXW,2017-02-14,2017-03-08,23.9364,23.9364,535.144,0.0,0.0,22,STOP,UPTREND
VYX,2016-12-08,2017-03-15,24.9816,26.2945,482.8372,633.91,0.657,97,F3_FAIL,UPTREND
SMTC,2017-02-17,2017-03-15,34.95,34.25,373.7486,-261.62,-0.25,26,F3_FAIL,UPTREND
HALO,2017-03-13,2017-03-21,13.79,13.79,964.277,0.0,0.0,8,STOP,UPTREND
BANC,2017-03-16,2017-03-23,17.0263,16.4167,777.4939,-473.91,-0.447,7,F3_FAIL,UPTREND
HALO,2017-03-22,2017-03-30,13.6,13.6,956.7255,0.0,0.0,8,STOP,UPTREND
HAS,2017-03-20,2017-04-19,73.5372,70.0812,180.4583,-623.66,-0.587,30,F3_FAIL,UPTREND
OLN,2017-01-10,2017-05-05,20.8159,23.1121,579.8432,1331.44,1.379,115,F3_FAIL,UPTREND
MASI,2017-01-13,2017-05-26,71.69,87.44,168.9505,2660.97,2.746,133,F4_FAIL,UPTREND
RH,2017-05-04,2017-06-02,51.72,51.72,265.1991,0.0,0.0,29,STOP,UPTREND
LMAT,2017-05-09,2017-06-13,27.9915,25.7522,486.4154,-1089.24,-1.0,35,STOP,UPTREND
KLAC,2017-03-09,2017-06-16,79.5934,85.1931,166.3116,931.3,0.879,99,F3_FAIL,UPTREND
